Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.263021,0.270182,0.263021,0.263021,0.049286,806400
1962-01-03,0.259115,0.259115,0.253255,0.257161,0.048188,1574400
1962-01-04,0.257813,0.261068,0.257813,0.259115,0.048554,844800
1962-01-05,0.259115,0.262370,0.252604,0.253255,0.047456,1420800
1962-01-08,0.251302,0.251302,0.245768,0.250651,0.046968,2035200
1962-01-09,0.250651,0.256510,0.248698,0.255208,0.047822,960000
1962-01-10,0.255208,0.260091,0.252604,0.256510,0.048066,1612800
1962-01-11,0.256510,0.259115,0.255208,0.259115,0.048554,614400
1962-01-12,0.259115,0.259115,0.254557,0.257161,0.048188,883200
1962-01-15,0.256510,0.256510,0.253906,0.254557,0.047700,614400
1962-01-16,0.253906,0.253906,0.249674,0.250000,0.046846,1113600
1962-01-17,0.250000,0.250000,0.242188,0.242188,0.045382,1574400
1962-01-18,0.242188,0.243490,0.236328,0.237305,0.044467,2649600
1962-01-19,0.239583,0.244792,0.239583,0.244792,0.045870,1459200
1962-01-22,0.244792,0.247396,0.242188,0.246745,0.046236,1075200
1962-01-23,0.246094,0.246094,0.241536,0.241536,0.045260,768000
1962-01-24,0.241536,0.242188,0.234375,0.238932,0.044772,2611200
1962-01-25,0.238932,0.242839,0.236979,0.236979,0.044406,1574400
1962-01-26,0.236979,0.236979,0.233073,0.234375,0.043918,1574400
1962-01-29,0.234375,0.235026,0.233724,0.234375,0.043918,307200
1962-01-30,0.234375,0.236328,0.233398,0.233398,0.043735,1574400
1962-01-31,0.234375,0.242839,0.234375,0.242839,0.045504,1766400
1962-02-01,0.244792,0.248698,0.244792,0.244792,0.045870,1420800
1962-02-02,0.244792,0.247396,0.240885,0.247396,0.046358,1152000
1962-02-05,0.247396,0.247396,0.245443,0.247396,0.046358,384000
1962-02-06,0.247396,0.247396,0.244141,0.244141,0.045748,691200
1962-02-07,0.244141,0.245443,0.244141,0.245443,0.045992,192000
1962-02-08,0.245443,0.247396,0.242839,0.246094,0.046114,768000
1962-02-09,0.246094,0.247396,0.244792,0.247396,0.046358,729600
1962-02-12,0.247396,0.248047,0.245443,0.245443,0.045992,307200
1962-02-13,0.245443,0.246745,0.245443,0.245443,0.045992,652800
1962-02-14,0.245443,0.245443,0.240885,0.240885,0.045138,652800
1962-02-15,0.240885,0.242839,0.239583,0.239583,0.044894,652800
1962-02-16,0.239583,0.244141,0.239583,0.239583,0.044894,1190400
1962-02-19,0.241536,0.243490,0.241536,0.243490,0.045626,345600
1962-02-20,0.243490,0.244141,0.241536,0.242188,0.045382,460800
1962-02-21,0.242188,0.244141,0.240885,0.240885,0.045138,691200
1962-02-23,0.240885,0.244141,0.238281,0.238281,0.044650,1036800
1962-02-26,0.238281,0.244141,0.236979,0.242188,0.045382,768000
1962-02-27,0.242188,0.244141,0.242188,0.243490,0.045626,460800
1962-02-28,0.242839,0.242839,0.238281,0.238932,0.044772,652800
1962-03-01,0.238932,0.238932,0.234375,0.237630,0.044528,19545600
1962-03-02,0.238281,0.240234,0.238281,0.240234,0.045016,806400
1962-03-05,0.240234,0.240234,0.236979,0.236979,0.044406,652800
1962-03-06,0.239583,0.242188,0.239583,0.242188,0.045382,883200
1962-03-07,0.242188,0.242188,0.238932,0.238932,0.044772,691200
1962-03-08,0.238932,0.241536,0.238281,0.239583,0.044894,883200
1962-03-09,0.239583,0.240560,0.235026,0.236979,0.044406,1113600
1962-03-12,0.239583,0.242188,0.239583,0.242188,0.045382,998400
1962-03-13,0.242513,0.244466,0.242513,0.244466,0.046106,1344000
1962-03-14,0.244466,0.245443,0.243490,0.244792,0.046168,1689600
1962-03-15,0.244792,0.245443,0.243490,0.243490,0.045922,883200
1962-03-16,0.243490,0.244466,0.243490,0.243490,0.045922,768000
1962-03-19,0.243490,0.246094,0.243490,0.244792,0.046168,921600
1962-03-20,0.244792,0.247396,0.244792,0.247396,0.046659,1305600
1962-03-21,0.248698,0.251953,0.248698,0.250651,0.047273,2188800
1962-03-22,0.251302,0.254557,0.251302,0.253255,0.047764,1344000
1962-03-23,0.255208,0.259766,0.255208,0.257813,0.048624,1497600
1962-03-26,0.257813,0.259766,0.253906,0.254557,0.048009,1420800
1962-03-27,0.253255,0.253255,0.251302,0.252604,0.047641,844800
1962-03-28,0.252604,0.252604,0.250651,0.250651,0.047273,460800
1962-03-29,0.250651,0.253906,0.250000,0.251302,0.047396,1036800
1962-03-30,0.251302,0.251302,0.247396,0.247396,0.046659,1382400
1962-04-02,0.247396,0.251953,0.246094,0.250651,0.047273,1152000
1962-04-03,0.250651,0.251953,0.240885,0.242839,0.045799,1228800
1962-04-04,0.244792,0.249349,0.244792,0.245768,0.046352,1459200
1962-04-05,0.245768,0.248372,0.244792,0.246094,0.046413,1036800
1962-04-06,0.247396,0.251302,0.247396,0.250000,0.047150,729600
1962-04-09,0.250651,0.252604,0.250651,0.250651,0.047273,537600
1962-04-10,0.250651,0.252604,0.250651,0.250651,0.047273,614400
1962-04-11,0.250651,0.251953,0.243815,0.244792,0.046168,883200
1962-04-12,0.243490,0.243490,0.239583,0.240234,0.045308,1075200
1962-04-13,0.240234,0.247396,0.236328,0.247396,0.046659,1804800
1962-04-16,0.247396,0.251302,0.246745,0.248047,0.046782,2227200
1962-04-17,0.248047,0.250651,0.246094,0.249349,0.047027,1152000
1962-04-18,0.249349,0.250651,0.248698,0.250651,0.047273,691200
1962-04-19,0.250651,0.250977,0.249349,0.250977,0.047334,806400
1962-04-23,0.250977,0.253906,0.250326,0.251302,0.047396,691200
1962-04-24,0.251302,0.252604,0.249349,0.252604,0.047641,883200
1962-04-25,0.251953,0.251953,0.249349,0.249349,0.047027,422400
1962-04-26,0.249349,0.250651,0.246094,0.248047,0.046782,806400
1962-04-27,0.248047,0.250651,0.246745,0.250651,0.047273,883200
1962-04-30,0.248047,0.248047,0.239583,0.240885,0.045431,1382400
1962-05-01,0.240885,0.244792,0.239583,0.244141,0.046045,1574400
1962-05-02,0.245443,0.247396,0.245443,0.247070,0.046597,1305600
1962-05-03,0.247070,0.250000,0.246094,0.250000,0.047150,844800
1962-05-04,0.250000,0.250977,0.248047,0.248047,0.046782,537600
1962-05-07,0.248047,0.250000,0.245443,0.245443,0.046291,691200
1962-05-08,0.245443,0.248698,0.242513,0.242513,0.045738,1190400
1962-05-09,0.242188,0.242188,0.237630,0.237630,0.044817,1267200
1962-05-10,0.237630,0.238281,0.234375,0.235677,0.044449,1920000
1962-05-11,0.235677,0.237630,0.225911,0.227865,0.042975,2380800
1962-05-14,0.227865,0.229167,0.218099,0.223958,0.042239,3187200
1962-05-15,0.225260,0.237630,0.225260,0.235026,0.044326,2534400
1962-05-16,0.235026,0.236979,0.234375,0.235677,0.044449,1612800
1962-05-17,0.235677,0.237305,0.233073,0.233073,0.043958,2496000
1962-05-18,0.233073,0.233724,0.229818,0.233724,0.044080,806400
1962-05-21,0.233724,0.234375,0.232422,0.233398,0.044019,960000
1962-05-22,0.233398,0.233398,0.225911,0.226563,0.042730,1420800
1962-05-23,0.226237,0.226237,0.222656,0.223958,0.042239,2342400
1962-05-24,0.222656,0.222656,0.219401,0.219401,0.041379,2688000
1962-05-25,0.219401,0.221354,0.214844,0.216797,0.040888,2841600
1962-05-28,0.216471,0.216471,0.197266,0.205404,0.038739,4377600
1962-05-29,0.205404,0.210286,0.182292,0.210286,0.039660,7411200
1962-05-31,0.214193,0.220052,0.214193,0.218750,0.041256,4761600
